Date,Open,High,Low,Close,Adj Close,Volume
2020-01-12,35.78,42.51,35.78,40.2,40.2,69933823
2020-01-19,43.09,45.58,39.56,42.62,42.62,53046468
2020-01-26,43.99,45.69,38.92,42.45,42.45,57352494
2020-02-02,30.96,36.68,30.96,33.92,33.92,95519128
2020-02-09,39.18,40.24,33.4,36.89,36.89,91509697
2020-02-16,41.09,42.16,37.35,40.42,40.42,59857417
2020-02-23,43.13,48.41,42.94,43.96,43.96,86615351
2020-03-01,38.28,39.93,34.95,37.01,37.01,47136029
2020-03-08,43.34,43.34,35.95,38.8,38.8,68728561
2020-03-15,34.89,37.86,32.73,34.52,34.52,60241658
2020-03-22,34.89,37.85,30.8,34.4,34.4,99994988
2020-03-29,43.84,48.33,40.23,44.76,44.76,76869124
2020-04-05,46.11,51.25,43.59,47.81,47.81,86136438
2020-04-12,42.65,44.63,38.2,40.99,40.99,61496823
2020-04-19,44.98,51.02,42.2,46.69,46.69,46285088
2020-04-26,43.95,47.0,40.65,43.8,43.8,91442037
2020-05-03,38.14,42.8,36.43,39.09,39.09,98747968
2020-05-10,45.41,47.36,42.06,44.45,44.45,89907857
2020-05-17,51.32,55.1,47.96,50.66,50.66,52460255
2020-05-24,45.18,45.43,40.5,43.11,43.11,43912942
2020-05-31,50.42,56.24,48.26,51.44,51.44,82055856
2020-06-07,30.3,33.8,27.68,30.84,30.84,47468810
2020-06-14,46.41,49.94,45.37,48.37,48.37,41635156
2020-06-21,44.13,48.15,41.58,45.02,45.02,65301054
2020-06-28,44.17,45.73,39.22,43.41,43.41,50155224
2020-07-05,47.2,49.53,41.74,45.69,45.69,45001045
2020-07-12,33.77,37.96,33.77,35.61,35.61,44463418
2020-07-19,46.52,47.33,44.33,44.78,44.78,68267184
2020-07-26,50.7,50.7,44.05,47.99,47.99,83824588
2020-08-02,54.74,56.46,52.28,53.91,53.91,44345760
2020-08-09,48.01,48.01,41.48,44.26,44.26,63930984
2020-08-16,41.58,44.54,41.3,43.13,43.13,76805730
2020-08-23,42.5,48.74,42.5,44.98,44.98,78019582
2020-08-30,48.84,56.18,48.84,52.39,52.39,73423744
2020-09-06,52.78,53.21,46.02,49.78,49.78,98720660
2020-09-13,47.12,47.85,43.39,45.81,45.81,80804335
2020-09-20,51.24,54.31,50.94,51.35,51.35,95229238
2020-09-27,50.16,52.59,47.14,49.6,49.6,62966789
2020-10-04,52.03,56.12,50.89,54.28,54.28,58100699
2020-10-11,51.14,51.14,44.73,46.25,46.25,41722320
2020-10-18,48.7,52.32,45.26,48.44,48.44,53298372
2020-10-25,48.66,51.22,45.46,48.44,48.44,92664165
2020-11-01,44.86,46.44,39.83,43.41,43.41,69702914
2020-11-08,53.49,55.74,49.41,52.53,52.53,76750772
2020-11-15,53.13,53.64,50.65,52.68,52.68,70170134
2020-11-22,50.14,54.48,47.53,51.72,51.72,54441444
2020-11-29,51.79,53.17,48.01,50.85,50.85,71657524
2020-12-06,49.03,49.03,42.3,45.27,45.27,71206052
2020-12-13,53.26,53.28,48.5,50.57,50.57,70413513
2020-12-20,54.46,56.08,48.72,51.28,51.28,65329097
2020-12-27,48.28,52.94,47.19,49.3,49.3,52243026
2021-01-03,50.85,55.26,50.01,52.83,52.83,95719056
2021-01-10,55.73,59.56,51.27,55.98,55.98,68818516
2021-01-17,63.83,68.12,62.09,63.72,63.72,96024141
2021-01-24,57.67,59.41,54.1,55.48,55.48,48247752
2021-01-31,52.84,59.28,51.75,56.22,56.22,57864557
2021-02-07,57.94,57.94,52.09,54.88,54.88,46195200
2021-02-14,45.67,49.68,43.65,45.99,45.99,43977266
2021-02-21,54.92,59.16,51.73,55.77,55.77,79113388
2021-02-28,54.5,60.42,54.13,56.53,56.53,93363404
2021-03-07,65.56,72.5,64.04,68.87,68.87,57620739
2021-03-14,57.56,59.96,52.23,55.91,55.91,82489277
2021-03-21,58.85,61.17,56.19,58.7,58.7,53832640
2021-03-28,54.77,61.66,52.19,57.35,57.35,70061031
2021-04-04,49.41,55.2,49.41,52.0,52.0,77594911
2021-04-11,63.21,68.96,60.14,63.88,63.88,40092193
2021-04-18,65.59,65.59,58.95,62.25,62.25,53088862
2021-04-25,62.25,67.51,58.47,62.77,62.77,57964103
2021-05-02,51.58,57.79,50.03,54.59,54.59,68173862
2021-05-09,65.98,68.82,63.44,66.47,66.47,99228409
2021-05-16,52.23,55.29,50.53,52.78,52.78,60112033
2021-05-23,57.65,65.72,57.65,63.04,63.04,72043445
2021-05-30,71.27,74.81,69.06,71.38,71.38,68747893
2021-06-06,55.34,59.32,50.79,55.8,55.8,53943554
2021-06-13,59.64,60.67,55.11,58.25,58.25,59492730
2021-06-20,65.6,65.6,59.27,61.9,61.9,86824753
2021-06-27,61.46,64.35,56.02,59.21,59.21,76213003
2021-07-04,53.76,59.02,52.64,54.3,54.3,56689088
2021-07-11,60.5,66.15,60.5,62.71,62.71,61611573
2021-07-18,62.53,62.53,53.18,57.38,57.38,84166109
2021-07-25,65.51,68.51,63.04,65.39,65.39,47102173
2021-08-01,58.77,62.36,56.79,58.75,58.75,85388538
2021-08-08,71.37,73.39,67.88,71.42,71.42,95224120
2021-08-15,60.47,62.82,55.89,60.07,60.07,90813328
2021-08-22,62.41,64.03,58.98,62.7,62.7,78720111
2021-08-29,67.56,72.1,64.71,68.7,68.7,88515838
2021-09-05,57.71,62.45,56.56,58.81,58.81,96511790
2021-09-12,66.35,68.94,64.84,66.42,66.42,62064334
2021-09-19,71.06,76.72,67.64,72.14,72.14,54681316
2021-09-26,56.47,59.67,55.22,57.89,57.89,86963540
2021-10-03,67.39,68.71,64.43,67.18,67.18,44100673
2021-10-10,67.37,71.1,63.55,67.88,67.88,75088458
2021-10-17,73.82,74.86,67.25,70.81,70.81,82258866
2021-10-24,55.74,65.72,55.74,61.04,61.04,93799014
2021-10-31,63.13,63.49,55.78,60.94,60.94,88840101
2021-11-07,72.97,74.56,68.12,70.48,70.48,73881791
2021-11-14,65.53,72.64,65.53,69.68,69.68,90305761
2021-11-21,69.08,72.6,66.71,69.77,69.77,69367077
2021-11-28,69.83,74.46,67.3,70.57,70.57,90649185
2021-12-05,62.95,69.42,61.24,65.76,65.76,90011985
2021-12-12,69.09,72.07,67.14,70.65,70.65,46953757
2021-12-19,69.06,75.75,67.74,71.28,71.28,74104654
2021-12-26,70.07,70.94,62.49,66.56,66.56,95306674
2022-01-02,81.66,82.16,77.15,79.79,79.79,98126782
2022-01-09,75.69,76.55,70.99,73.15,73.15,72843745
2022-01-16,66.59,68.64,63.19,65.15,65.15,59350835
2022-01-23,72.45,77.97,72.45,74.71,74.71,42453752
2022-01-30,65.83,69.33,61.82,66.88,66.88,97597408
2022-02-06,76.99,78.34,74.11,76.01,76.01,50320855
2022-02-13,75.75,81.17,75.41,78.19,78.19,58130254
2022-02-20,70.04,72.79,65.9,68.62,68.62,65416699
2022-02-27,77.38,81.41,74.56,77.86,77.86,44657693
2022-03-06,74.68,78.06,71.62,75.43,75.43,94596342
2022-03-13,79.22,81.57,73.94,77.8,77.8,74262121
2022-03-20,84.39,84.39,81.08,83.5,83.5,52836402
2022-03-27,72.39,77.26,70.28,73.11,73.11,83558992
2022-04-03,73.21,73.21,67.61,70.89,70.89,91628164
2022-04-10,68.38,73.18,67.79,70.54,70.54,67696003
2022-04-17,72.46,73.11,66.62,71.23,71.23,66722441
2022-04-24,76.43,76.95,71.76,75.25,75.25,60240567
2022-05-01,77.04,81.82,73.93,77.66,77.66,99985296
2022-05-08,78.32,80.2,74.0,77.66,77.66,73248585
2022-05-15,78.24,84.09,76.57,80.74,80.74,54142224
2022-05-22,78.84,79.95,73.81,76.99,76.99,75409403
2022-05-29,84.15,88.0,82.82,84.52,84.52,56045907
2022-06-05,75.21,79.33,72.85,76.25,76.25,65816023
2022-06-12,93.6,93.6,89.15,91.5,91.5,88458273
2022-06-19,79.94,85.35,78.88,81.35,81.35,89094405
2022-06-26,71.44,76.76,70.67,74.26,74.26,75403828
2022-07-03,70.4,74.96,69.28,73.51,73.51,55734209
2022-07-10,82.82,84.18,78.58,81.6,81.6,42691276
2022-07-17,75.84,82.9,75.09,78.4,78.4,65794685
2022-07-24,86.92,87.26,78.71,83.41,83.41,76081386
2022-07-31,78.36,85.18,78.36,82.53,82.53,46549546
2022-08-07,83.51,83.51,74.52,80.12,80.12,64784623
2022-08-14,77.0,79.25,73.01,76.57,76.57,97716682
2022-08-21,73.36,78.63,72.32,73.56,73.56,97395058
2022-08-28,78.13,82.6,75.47,79.22,79.22,65827438
2022-09-04,86.86,89.49,82.68,86.06,86.06,56663288
2022-09-11,83.1,87.2,78.88,83.17,83.17,70039702
2022-09-18,78.4,79.44,72.52,76.2,76.2,53081782
2022-09-25,83.84,86.36,80.75,83.62,83.62,68523343
2022-10-02,85.3,87.8,83.22,85.0,85.0,88437342
2022-10-09,78.25,81.91,76.19,78.98,78.98,81555914
2022-10-16,84.37,87.45,82.34,84.49,84.49,99387253
2022-10-23,84.95,88.06,81.91,84.33,84.33,83669391
2022-10-30,75.23,81.7,75.06,78.65,78.65,41072647
2022-11-06,83.78,90.21,81.81,86.48,86.48,75185539
2022-11-13,89.3,90.74,84.42,87.82,87.82,82971495
2022-11-20,91.09,93.83,88.95,90.75,90.75,78660995
2022-11-27,90.56,91.93,87.48,90.93,90.93,48234679
2022-12-04,79.13,83.01,74.9,79.1,79.1,63240984
2022-12-11,82.31,84.96,79.23,81.62,81.62,66471618
2022-12-18,88.13,93.2,86.34,89.21,89.21,62383810
2022-12-25,87.97,89.63,86.51,89.52,89.52,88566364
2023-01-01,90.24,94.94,87.64,89.85,89.85,58727583
2023-01-08,104.91,109.73,103.22,106.86,106.86,41910705
2023-01-15,91.6,94.89,87.9,90.78,90.78,75156028
2023-01-22,90.52,95.89,90.51,93.93,93.93,60568697
2023-01-29,95.4,96.95,91.23,93.34,93.34,61900338
2023-02-05,93.1,94.1,89.59,92.15,92.15,81311634
2023-02-12,88.15,90.02,83.92,87.64,87.64,79902996
2023-02-19,95.3,98.25,90.71,93.34,93.34,94481924
2023-02-26,89.33,89.33,81.27,86.0,86.0,45723601
2023-03-05,91.03,92.22,86.4,89.0,89.0,95685723
2023-03-12,84.4,91.96,84.4,88.09,88.09,56618153
2023-03-19,88.69,94.74,87.31,91.24,91.24,62056764
2023-03-26,101.48,105.88,101.15,102.73,102.73,42382357
2023-04-02,82.2,85.51,80.91,82.15,82.15,85430164
2023-04-09,96.27,100.64,93.76,95.24,95.24,47904069
2023-04-16,82.61,87.01,79.8,84.07,84.07,88365056
2023-04-23,90.47,93.29,87.65,90.09,90.09,53630084
2023-04-30,96.71,102.27,92.66,98.22,98.22,72872680
2023-05-07,92.2,97.53,90.99,93.42,93.42,92576779
2023-05-14,85.22,92.22,84.85,88.03,88.03,53781337
2023-05-21,88.32,93.81,85.63,90.17,90.17,55428653
2023-05-28,94.76,99.33,92.46,97.47,97.47,61023265
2023-06-04,88.79,95.38,85.68,90.74,90.74,56099248
2023-06-11,97.91,97.91,91.59,95.8,95.8,54677069
2023-06-18,93.37,98.57,91.24,95.27,95.27,48480473
2023-06-25,97.37,97.37,88.51,92.11,92.11,52433196
2023-07-02,107.39,109.34,102.63,106.41,106.41,79010202
2023-07-09,99.55,102.51,96.73,99.18,99.18,74626632
2023-07-16,84.49,89.53,84.03,86.21,86.21,50889464
2023-07-23,98.99,101.01,94.59,97.59,97.59,93237806
2023-07-30,92.52,98.29,90.84,93.67,93.67,52457080
2023-08-06,101.81,105.02,99.02,101.57,101.57,41222869
2023-08-13,98.79,98.79,89.97,93.67,93.67,55608046
2023-08-20,97.19,101.34,93.42,97.38,97.38,90066487
2023-08-27,103.1,104.99,97.71,100.8,100.8,43125354
2023-09-03,101.52,104.7,98.45,102.93,102.93,49818159
2023-09-10,92.85,96.52,91.06,92.92,92.92,51145552
2023-09-17,101.11,101.27,94.77,97.57,97.57,88329753
2023-09-24,95.94,99.9,94.91,97.19,97.19,78337315
2023-10-01,100.25,101.0,95.49,96.63,96.63,80056064
2023-10-08,110.46,111.89,106.13,109.04,109.04,67453447
2023-10-15,101.44,105.69,99.69,102.56,102.56,99634288
2023-10-22,95.82,97.39,90.04,94.56,94.56,55152994
2023-10-29,107.72,108.79,102.14,105.78,105.78,94314236
2023-11-05,113.36,114.02,110.14,112.12,112.12,48083123
2023-11-12,103.85,108.56,102.14,107.0,107.0,66733262
2023-11-19,93.11,99.15,90.34,94.56,94.56,62937902
2023-11-26,99.56,102.21,96.48,100.06,100.06,87661694
2023-12-03,108.99,111.15,106.36,109.14,109.14,49306167
2023-12-10,100.83,100.83,97.55,99.59,99.59,40635605
2023-12-17,106.02,108.03,103.04,105.67,105.67,47479821
2023-12-24,104.98,109.32,103.56,107.65,107.65,78138329
2023-12-31,100.22,104.1,94.58,99.46,99.46,82758171
2024-01-07,105.34,108.13,99.58,104.12,104.12,80968150
2024-01-14,89.66,90.85,86.03,88.54,88.54,40067661
2024-01-21,102.11,105.2,98.07,99.95,99.95,80414423
2024-01-28,105.8,108.11,100.99,104.13,104.13,47585153
2024-02-04,100.39,102.15,98.24,99.48,99.48,96246636
2024-02-11,114.06,114.7,110.88,114.2,114.2,63335437
2024-02-18,95.89,104.5,95.89,99.21,99.21,70554810
2024-02-25,105.34,106.09,101.95,104.48,104.48,50466615
2024-03-03,108.08,109.02,106.26,107.66,107.66,74861938
2024-03-10,115.08,118.56,111.02,114.54,114.54,83914246
2024-03-17,97.92,105.92,97.92,100.48,100.48,59678830
2024-03-24,111.63,118.18,111.63,113.79,113.79,42966422
2024-03-31,110.46,111.92,108.23,108.35,108.35,90154221
2024-04-07,103.64,107.31,100.75,103.72,103.72,43708654
2024-04-14,112.62,115.11,106.49,111.26,111.26,97647084
2024-04-21,110.32,114.03,105.61,110.27,110.27,73672465
2024-04-28,106.65,109.88,104.05,106.59,106.59,82573305
2024-05-05,112.14,113.37,107.87,110.27,110.27,84653349
2024-05-12,107.28,111.25,104.85,108.32,108.32,45872354
2024-05-19,111.33,113.38,109.13,111.13,111.13,68084082
2024-05-26,113.28,116.92,110.9,114.2,114.2,74769934
2024-06-02,118.27,120.45,115.38,119.14,119.14,87756479
2024-06-09,104.73,108.25,101.12,105.35,105.35,55540184
2024-06-16,122.97,124.54,119.63,122.53,122.53,53014646
2024-06-23,101.47,104.32,99.63,102.42,102.42,49810404
2024-06-30,114.26,114.93,109.63,111.75,111.75,84705819
2024-07-07,113.98,120.16,113.6,115.77,115.77,59096265
2024-07-14,114.18,118.48,111.79,114.56,114.56,46292518
2024-07-21,109.48,111.79,107.0,110.36,110.36,81142200
2024-07-28,115.65,115.65,108.85,112.76,112.76,94052112
2024-08-04,112.05,115.6,109.46,111.66,111.66,75747046
2024-08-11,113.56,113.56,107.01,111.5,111.5,87585365
2024-08-18,116.05,121.79,116.05,119.02,119.02,57547389
2024-08-25,117.41,120.43,113.9,116.88,116.88,84612395
2024-09-01,113.73,113.98,109.7,111.95,111.95,62419480
2024-09-08,120.4,123.34,119.66,120.24,120.24,71041091
2024-09-15,119.73,119.73,113.72,117.6,117.6,88766345
2024-09-22,119.42,122.85,116.72,120.45,120.45,74021442
2024-09-29,122.68,123.18,117.14,119.86,119.86,75209448
2024-10-06,117.49,117.49,109.82,112.89,112.89,86523537
2024-10-13,113.83,118.0,111.04,114.56,114.56,77775470
2024-10-20,120.53,124.4,119.98,121.42,121.42,66089699
2024-10-27,123.96,124.61,118.59,121.06,121.06,65153646
2024-11-03,121.38,121.45,114.43,118.22,118.22,50511829
2024-11-10,118.19,123.6,117.49,119.24,119.24,77435425
2024-11-17,124.52,128.49,122.07,125.36,125.36,86674542
2024-11-24,115.78,118.91,114.7,116.34,116.34,87521543
2024-12-01,119.67,125.48,118.89,122.36,122.36,76122535
2024-12-08,117.1,122.48,115.97,118.94,118.94,82024304
2024-12-15,117.17,122.23,117.17,119.18,119.18,48411883
2024-12-22,124.55,129.13,121.92,126.09,126.09,51082322
2024-12-29,124.97,127.34,122.78,125.04,125.04,56203305
2025-01-05,125.78,127.64,123.12,125.31,125.31,50848680
2025-01-12,131.19,131.19,124.89,128.09,128.09,80036964
2025-01-19,120.0,126.74,117.84,121.99,121.99,55922693
2025-01-26,127.59,127.59,123.64,125.62,125.62,78750899
2025-02-02,120.55,123.29,117.92,120.98,120.98,62730009
2025-02-09,124.38,126.76,121.05,124.48,124.48,99292991
2025-02-16,123.88,126.42,118.84,122.53,122.53,75555041
2025-02-23,121.74,126.69,120.81,123.99,123.99,82855866
2025-03-02,127.57,131.05,124.17,126.8,126.8,93028791
2025-03-09,120.39,122.39,117.89,120.06,120.06,99582778
2025-03-16,135.92,138.22,131.85,134.94,134.94,49192300
2025-03-23,120.35,121.93,117.84,119.77,119.77,49549765
2025-03-30,123.96,124.2,118.97,119.05,119.05,91646180
2025-04-06,129.96,133.05,127.8,131.24,131.24,90752888
2025-04-13,128.66,133.04,125.82,129.73,129.73,52248352
2025-04-20,127.97,132.85,127.97,129.21,129.21,72359860
2025-04-27,128.45,132.97,127.57,129.56,129.56,74499221
2025-05-04,125.4,129.49,123.06,126.68,126.68,68272916
2025-05-11,124.95,125.45,117.52,122.58,122.58,92545221
2025-05-18,130.61,130.81,124.74,127.76,127.76,65691717
2025-05-25,123.18,127.18,122.05,124.32,124.32,89747446
2025-06-01,131.24,136.87,130.09,132.91,132.91,54752367
2025-06-08,128.56,132.83,123.25,127.62,127.62,59032579
2025-06-15,123.45,126.99,122.2,124.55,124.55,70354781
2025-06-22,128.66,129.03,125.19,127.4,127.4,81930173
2025-06-29,131.8,134.3,128.87,131.39,131.39,56514877
2025-07-06,123.8,132.41,123.8,126.83,126.83,78611293
2025-07-13,128.96,128.96,122.74,125.86,125.86,46436446
2025-07-20,135.11,136.15,126.89,131.51,131.51,77703319
2025-07-27,130.62,136.52,128.52,131.84,131.84,66372918
2025-08-03,127.63,130.86,125.66,128.41,128.41,49057014
2025-08-10,129.48,132.48,126.2,128.91,128.91,60446082
2025-08-17,133.42,137.38,131.31,132.75,132.75,78166770
2025-08-24,125.99,127.29,120.79,124.67,124.67,51242014
2025-08-31,129.22,129.22,122.28,125.2,125.2,57810471
2025-09-07,128.61,131.39,126.15,128.97,128.97,80636644
2025-09-14,130.22,133.8,125.62,131.82,131.82,98534435
2025-09-21,132.0,137.11,131.46,134.76,134.76,95321495
2025-09-28,139.45,142.68,138.66,140.91,140.91,51441374
2025-10-05,138.08,141.18,135.57,138.14,138.14,65706501
2025-10-12,136.97,136.97,129.23,133.38,133.38,71055169
2025-10-19,133.37,137.64,131.29,134.41,134.41,97975251
2025-10-26,130.26,131.26,128.25,129.81,129.81,43094235
2025-11-02,135.02,138.39,131.14,135.06,135.06,87870026
2025-11-09,136.41,137.86,131.7,134.03,134.03,66337283
2025-11-16,142.46,142.46,132.54,137.41,137.41,62763342
2025-11-23,130.92,135.36,127.9,131.98,131.98,59636869
2025-11-30,138.06,143.27,136.49,139.04,139.04,67132021
2025-12-07,146.52,146.52,140.15,144.43,144.43,73942384
2025-12-14,137.91,141.22,133.48,136.55,136.55,67375197
2025-12-21,143.11,143.11,135.57,139.42,139.42,57807333
2025-12-28,142.35,143.48,137.7,141.19,141.19,93228466
2026-01-04,135.33,139.0,133.9,136.05,136.05,75912253
2026-01-11,140.68,143.06,137.15,139.5,139.5,72216504
2026-01-18,140.99,141.85,134.74,138.77,138.77,82468174
2026-01-25,141.16,143.06,136.85,139.52,139.52,56263882
2026-02-01,136.5,137.57,132.89,135.49,135.49,79138695
2026-02-08,141.93,142.97,137.75,139.8,139.8,73799193
2026-02-15,144.83,144.83,139.07,142.49,142.49,84914860
